Epoch: [7][0/97], lr: 0.01000	Time 0.153 (0.153)	Data 0.098 (0.098)	Loss 1.5173 (1.5173)	Prec@1 35.938 (35.938)	Prec@5 90.625 (90.625)
Epoch: [7][10/97], lr: 0.01000	Time 0.146 (0.148)	Data 0.000 (0.017)	Loss 2.2092 (1.7372)	Prec@1 48.438 (42.045)	Prec@5 86.719 (89.986)
Epoch: [7][20/97], lr: 0.01000	Time 0.148 (0.147)	Data 0.000 (0.013)	Loss 1.5498 (1.7287)	Prec@1 55.469 (47.619)	Prec@5 94.531 (90.365)
Epoch: [7][30/97], lr: 0.01000	Time 0.146 (0.147)	Data 0.000 (0.012)	Loss 1.9206 (1.7344)	Prec@1 32.812 (44.103)	Prec@5 87.500 (90.776)
Epoch: [7][40/97], lr: 0.01000	Time 0.144 (0.147)	Data 0.000 (0.011)	Loss 2.0548 (1.7371)	Prec@1 44.531 (42.702)	Prec@5 88.281 (90.720)
Epoch: [7][50/97], lr: 0.01000	Time 0.166 (0.149)	Data 0.000 (0.011)	Loss 1.6274 (1.7636)	Prec@1 36.719 (42.218)	Prec@5 87.500 (90.548)
Epoch: [7][60/97], lr: 0.01000	Time 0.158 (0.150)	Data 0.000 (0.011)	Loss 1.4601 (1.7584)	Prec@1 41.406 (40.587)	Prec@5 90.625 (90.228)
Epoch: [7][70/97], lr: 0.01000	Time 0.158 (0.152)	Data 0.000 (0.011)	Loss 1.5082 (1.7513)	Prec@1 48.438 (40.020)	Prec@5 89.062 (90.130)
Epoch: [7][80/97], lr: 0.01000	Time 0.162 (0.153)	Data 0.000 (0.011)	Loss 1.9017 (1.7644)	Prec@1 42.969 (39.236)	Prec@5 89.062 (89.950)
Epoch: [7][90/97], lr: 0.01000	Time 0.160 (0.154)	Data 0.000 (0.011)	Loss 1.5348 (1.7703)	Prec@1 39.844 (39.724)	Prec@5 89.062 (89.895)
Epoch: [8][0/97], lr: 0.01000	Time 0.163 (0.163)	Data 0.103 (0.103)	Loss 1.7416 (1.7416)	Prec@1 53.906 (53.906)	Prec@5 92.188 (92.188)
Epoch: [8][10/97], lr: 0.01000	Time 0.157 (0.160)	Data 0.000 (0.018)	Loss 1.5606 (1.7578)	Prec@1 47.656 (50.142)	Prec@5 90.625 (89.276)
Epoch: [8][20/97], lr: 0.01000	Time 0.146 (0.158)	Data 0.000 (0.014)	Loss 1.7952 (1.7493)	Prec@1 36.719 (44.829)	Prec@5 85.156 (89.249)
Epoch: [8][30/97], lr: 0.01000	Time 0.156 (0.157)	Data 0.000 (0.013)	Loss 2.2550 (1.7766)	Prec@1 43.750 (40.978)	Prec@5 90.625 (88.911)
Epoch: [8][40/97], lr: 0.01000	Time 0.160 (0.155)	Data 0.000 (0.012)	Loss 1.7238 (1.7887)	Prec@1 43.750 (41.463)	Prec@5 88.281 (89.082)
Epoch: [8][50/97], lr: 0.01000	Time 0.157 (0.155)	Data 0.000 (0.012)	Loss 1.8467 (1.8001)	Prec@1 46.875 (41.942)	Prec@5 86.719 (89.583)
Epoch: [8][60/97], lr: 0.01000	Time 0.144 (0.154)	Data 0.000 (0.012)	Loss 1.8906 (1.7922)	Prec@1 53.125 (42.828)	Prec@5 89.844 (89.485)
Epoch: [8][70/97], lr: 0.01000	Time 0.143 (0.153)	Data 0.000 (0.011)	Loss 1.4934 (1.7765)	Prec@1 53.906 (43.563)	Prec@5 90.625 (89.690)
