Epoch: [7][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.016)	Loss 2.8142 (3.5506)	Prec@1 84.375 (75.923)	Prec@5 98.438 (96.591)
Epoch: [7][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 2.5878 (3.5472)	Prec@1 83.594 (75.930)	Prec@5 99.219 (97.173)
Epoch: [7][30/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.011)	Loss 3.2135 (3.5214)	Prec@1 77.344 (76.084)	Prec@5 97.656 (97.278)
Epoch: [7][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 4.0374 (3.5758)	Prec@1 75.000 (75.972)	Prec@5 93.750 (97.123)
Epoch: [7][50/97], lr: 0.01000	Time 0.141 (0.140)	Data 0.000 (0.010)	Loss 3.7642 (3.5622)	Prec@1 76.562 (76.088)	Prec@5 100.000 (97.304)
Epoch: [7][60/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.3567 (3.5746)	Prec@1 75.781 (75.884)	Prec@5 96.875 (97.208)
Epoch: [7][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.0297 (3.5539)	Prec@1 69.531 (76.023)	Prec@5 97.656 (97.205)
Epoch: [7][80/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 4.1016 (3.5444)	Prec@1 73.438 (76.167)	Prec@5 96.094 (97.251)
Epoch: [7][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.8052 (3.5543)	Prec@1 75.781 (76.176)	Prec@5 97.656 (97.347)
Epoch: [8][0/97], lr: 0.01000	Time 0.147 (0.147)	Data 0.092 (0.092)	Loss 3.6406 (3.6406)	Prec@1 75.000 (75.000)	Prec@5 96.875 (96.875)
Epoch: [8][10/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.016)	Loss 3.1134 (3.4808)	Prec@1 77.344 (76.634)	Prec@5 99.219 (98.011)
