Epoch: [7][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.3736 (3.4617)	Prec@1 81.250 (77.685)	Prec@5 98.438 (97.150)
Epoch: [7][80/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.5344 (3.4508)	Prec@1 78.125 (77.845)	Prec@5 96.094 (97.203)
Epoch: [7][90/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.8419 (3.4910)	Prec@1 70.312 (77.524)	Prec@5 94.531 (97.184)
Epoch: [8][0/97], lr: 0.01000	Time 0.150 (0.150)	Data 0.096 (0.096)	Loss 3.8041 (3.8041)	Prec@1 78.125 (78.125)	Prec@5 97.656 (97.656)
Epoch: [8][10/97], lr: 0.01000	Time 0.139 (0.141)	Data 0.000 (0.017)	Loss 2.9558 (3.4395)	Prec@1 81.250 (77.486)	Prec@5 96.875 (96.946)
Epoch: [8][20/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.013)	Loss 3.8575 (3.4592)	Prec@1 75.000 (77.865)	Prec@5 98.438 (97.210)
Epoch: [8][30/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.011)	Loss 3.9564 (3.4258)	Prec@1 71.094 (78.024)	Prec@5 96.094 (97.303)
Epoch: [8][40/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.011)	Loss 3.1587 (3.3549)	Prec@1 80.469 (78.335)	Prec@5 97.656 (97.580)
Epoch: [8][50/97], lr: 0.01000	Time 0.140 (0.140)	Data 0.000 (0.010)	Loss 3.3420 (3.3813)	Prec@1 77.344 (77.941)	Prec@5 99.219 (97.672)
Epoch: [8][60/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.6925 (3.3835)	Prec@1 77.344 (78.061)	Prec@5 99.219 (97.695)
Epoch: [8][70/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 2.9897 (3.3902)	Prec@1 81.250 (78.103)	Prec@5 98.438 (97.612)
Epoch: [8][80/97], lr: 0.01000	Time 0.142 (0.140)	Data 0.000 (0.010)	Loss 2.4980 (3.3594)	Prec@1 83.594 (78.308)	Prec@5 100.000 (97.685)
Epoch: [8][90/97], lr: 0.01000	Time 0.139 (0.140)	Data 0.000 (0.010)	Loss 3.3518 (3.3616)	Prec@1 77.344 (78.348)	Prec@5 99.219 (97.759)
Epoch: [9][0/97], lr: 0.01000	Time 0.166 (0.166)	Data 0.111 (0.111)	Loss 2.5767 (2.5767)	Prec@1 81.250 (81.250)	Prec@5 98.438 (98.438)
Epoch: [9][10/97], lr: 0.01000	Time 0.139 (0.142)	Data 0.000 (0.018)	Loss 2.9304 (3.0813)	Prec@1 80.469 (81.108)	Prec@5 99.219 (98.082)
Epoch: [9][20/97], lr: 0.01000	Time 0.140 (0.141)	Data 0.000 (0.013)	Loss 2.5322 (3.1580)	Prec@1 84.375 (80.208)	Prec@5 99.219 (97.619)
